,parent_company_name,total_air_pollutants_kg
224,AGGREGATE INDUSTRIES MANAGEMENT INC.,0.574247472
225,AGILENT TECHNOLOGIES INC,7462.1327104
226,AGILEX FLAVORS & FRAGRANCES,0.0
227,AGILITY MANUFACTURING INC,0.0
228,AGILYX,24.493968
229,AGRAFORM,462.66383999999994
230,AGRATI MEDINA LLC,0.0
231,AGRATI PARK FOREST  LLC,0.0
232,AGRATI TIFFIN LLC,0.0
233,AGRATI VALPARAISO LLC,0.0
234,AGRI STAR MEAT & POULTRY LLC,231.33192
235,AGRI-KING INC,0.0
236,AGRI-MARK INC,22.6796
237,AGRIBEEF CO,1.0886208
238,AGRITEK INDUSTRIES INC,6.8038799999999995
239,AGRIUM INC,351.5337999999999
240,AGRIUM US INC,495272.4476879286
241,AGROCHEM INC,816.919192
242,AGROPUR INC,3.175144
243,AGY HOLDING CO,69147.67821872
244,AHF LLC,5.402280719999999
245,AHF PRODUCTS - WITT PLANT,5.0348711999999995
246,AHF PRODUCTS LLC,12.283271359999999
247,AHLSTROM,135194.909968
248,AHLSTROM MUNKSJO NA SPECIALTY SOLUTIONS LLC,525571.5487655316
249,AHLSTROM USA INC,21472.591688
250,AHLSTROM-MUNKSJO N.A. SPECIALTY SOLUTIONS,0.4082328
251,AHLSTROM-MUNKSJO NORTH AMERICAN SPECIALTY SOLUTIONS LLC,37510.489221745265
252,AHLSTROM-MUNKSJO USA INC,329448.859112
253,AHRESTY WILMINGTON CORP,109.315672
254,AICHI FORGE USA INC,0.0
255,AIKITEC,0.0
256,AIPCF V,2267.052816
257,AIR LIQUIDE AMERICA,170.95882479999997
258,AIR LIQUIDE LARGE INDUSTRIES US,0.0
259,AIR LIQUIDE LARGE INDUSTRIES US LP,12575.8382
260,AIR PRODUCTS & CHEMICALS INC,114403.66875686478
261,AIR PRODUCTS & CHEMICALS INC.,2200.828384
262,AIRBORN INC,5.539719096
263,AIRBUS US MANUFACTURING FACILITY,2071.562375064
264,AIRCRAFT PLATING CORP,0.0
265,AIRCRAFT PRECISION PRODUCTS INC,9.07184
266,AIRCRAFT X-RAY LABORATORIES INC,83.91452
267,AIRGAS INC,17715.942744
268,AIRGAS USA LLC,15316.896334290399
269,AIRGAS WEST PHOENIX,2.26796
270,AIRMAR TECHNOLOGY CORP,0.0
271,AISAN INDUSTRY CO LTD,7.606737839999999
272,AISIN CHEMICAL INDIANA LLC,690.820616
273,AISIN HOLDINGS OF AMERICA,10522.365073896002
274,AISIN HOLDINGS OF AMERICA INC,122.21129256
275,AJ MAES DBA SANDIA MARBLE,2662.1314479999996
276,AJAX METAL PROCESSING INC,14057.269671999999
277,AJAY NA LLC,43.5477349888
278,AJD HOLDING CO INC,0.0
279,AJINOMOTO,0.0
280,AJINOMOTO ANIMAL NUTRITION GROUP INC,27660.493752
281,AJINOMOTO N.A. INC,58181.406694799996
282,AJINOMOTO WINDSOR INC.,374.2134
283,AK INDUSTRIES INC,31834.447336
284,AK STEEL CORP,16138.6672824
285,AK STEEL HOLDING CORP,14111.247120000002
286,AKEBONO BRAKE CORP,50.802304
287,AKEBONO BRAKE INDUSTRY CO LTD,913.5796472
288,AKER BIOMARINE,113.398
289,AKERS INTERNATIONAL,0.0
290,AKROCHEM CORP,0.0
291,AKRON BRASS,1045.075968
292,AKRON DISPERSIONS INC COPLEY OH,4.53592
293,AKRON PAINT & VARNISH INC,7433.0347836
294,AKWEL CADILLAC USA INC,1319.9527200000002
295,AKZO NOBEL INC,35251.011595672004
296,AKZO NOBEL NV,4270.44621016
297,AL GILBERT CO,0.0
298,AL-CORN CLEAN FUEL,15478.826999999997
299,ALA-GA WOOD PRESERVING CO,0.0
300,ALABAMA CHIPS INC,0.0
301,ALABAMA COPPER & BRONZE CO INC,448.72042192000004
302,ALABAMA CULLMAN YUTAKA TECHNOLOGIES,42.587752880000004
303,ALABAMA SPECIALTY PRODUCTS,61.688511999999996
304,ALAGLASS POOLS,12698.30804
305,ALAMO CEMENT CO,18.7935424830984
306,ALAMO DYNAMIC LLC DBA DYNAMIC FOODS,1471.452448
307,ALAMO GROUP INC,260.80632816
308,ALAMO MARBLE LTD,3707.2074159999997
309,ALAN WIRE CO INC,0.0
310,ALASKAN COPPER WORKS,346.99788
311,ALATUS AEROSYSTEMS,0.0
312,ALBANY MOLECULAR RESEARCH INC,4597.02337832
313,ALBAR INDUSTRIES INC,1533.594552
314,ALBAUGH INC,2902.0816160000004
315,ALBCO FOUNDRY INC,374.80851270399995
316,ALBEMARLE CORP,222210.42333966467
317,ALBERDINGK BOLEY INC,1.088750527312
318,ALBERT LEA ELECTROPLATING,7.711064
319,ALCHEM CHEMICAL CO,6.8038799999999995
320,ALCO HOLDINGS,0.0
321,ALCO PRODUCTS LLC,343.822736
322,ALCOA CORP,1350436.9248774906
323,ALCOA INC,382.4234152
324,ALCON INDUSTRIES INC,0.0
325,ALCON LABORATORIES INC-JOHNS CREEK MANUFACTURING,2315.58716
326,ALCUMET INC,0.057606184
327,ALEGACY EQUIPMENT LLC,4.53592
328,ALEMITE,0.0
329,ALERIS CORP,34361.74137147818
330,ALERIS INTERNATIONAL INC,5219.1704585857915
331,ALERIS ROLLED PRODUCTS INC,2440.7649442399997
332,ALERIS ROLLED PRODUCTS INC.,47380.866405123306
333,ALERT PLATING CO,0.0
334,ALEXANDRIA EXTRUSION MIDAMERICA LLC,4.53592
335,ALFA LAVAL INC,1.1158363199999999
336,ALGER PRECISION MACHINING,0.0
337,ALGONQUIN POWER WINDSOR LOCKS LLC,1010.1493839999999
338,ALI GROUP NA,0.0
339,ALIO GOLD INC.,6549.596324800001
340,ALKOTA CLEANING SYSTEMS INC,0.0
341,ALL AMERICAN ASPHALT,0.226796
342,ALL FLEX FLEXIBLE CIRCUITS,0.0
343,ALL METAL STAMPING INC,0.0
344,ALL PLASTICS & FIBERGLASS INC,1275.1287585599998
345,ALL STATE INDUSTRIES INC,7.7791027999999995
346,ALL-CLAD METALCRAFTERS LLC,113.398
347,ALL-CRAFT WELLMAN PRODUCTS INC,0.0015619894111999998
348,ALL-TYPE WELDING & FABRICATION,0.0
349,ALLCHEM SERVICES INC,9.07184
350,ALLCOAT TECHNOLOGY INC,1216.5337439999996
351,ALLEGHENY BRADFORD CORP,571.072328
352,ALLEGHENY LUDLUM LLC & YONGQING LTD LIABILITY CO,100.697424
353,ALLEGHENY PETROLEUM PRODUCTS CO,672.676936
354,ALLEGHENY TECHNOLOGIES INC,96668.87010270638
355,ALLEGHENY WOOD PRODUCTS INC,5.68577572
356,ALLEGION S & S US HOLDING CO INC,6728.583728
357,ALLEGION S&S US HOLDING CO INC,33225.873001032
358,ALLEN ORGAN CO LLC,0.0441345016
359,ALLETE INC,33958.0077313846
360,ALLFAST FASTENING SYSTEMS LLC,0.0
361,ALLIANCE COAL LLC,122.604103232
362,ALLIANCE INDUSTRIES,13077.510952
363,ALLIANCE LAUNDRY SYSTEMS LLC,346.99788
364,ALLIANCE STEEL INC,29.029888
365,ALLIANCE TUBULAR HOLDINGS LLC,0.0
366,ALLIANT ENERGY CORP,80747.77030577406
367,ALLIED AVIATION HOLDING CO,10610.661746208
368,ALLIED CONCRETE CO INC - ROCKAWAY,1.0996884448
369,ALLIED FINISHING INC,39.008912
370,ALLIED MACHINED PRODUCTS CORP,0.0
371,ALLIED METAL CO,2811.8168079999996
372,ALLIED MINERAL PRODUCTS INC,0.907184
373,ALLIED MOLDED PRODUCTS LLC,1525.3845368
374,ALLIED MOULDED PRODUCTS INC,8532.06552
375,ALLIED POWER GROUP LLC,113.398
376,ALLIED UNIVERSAL HOLDING CORP,13.154168000000002
377,ALLIED-LOCKE INDUSTRIES INC,466.292576
378,ALLISON TRANSMISSION HOLDINGS INC,1676.5213912
379,ALLNEX USA INC,70722.69932808001
380,ALLOY & STAINLESS FASTENERS,4.53592
381,ALLOY DIE CASTING CO,34.926584
